4/20/2018 9:53 AM
#3	Dark
Area (mm2) :	10.00

V (V)	J_source(mA/cm2)	I_PD (A)	Luminascence (cd/m2)	EQE (%)	PE (lm/W)	
6.450E+0	9.322E+2	1.024E-6	6.159E+4	1.863E+0	3.218E+0
6.500E+0	9.955E+2	9.980E-7	6.003E+4	1.700E+0	2.915E+0
6.550E+0	1.072E+3	9.550E-7	5.744E+4	1.511E+0	2.571E+0
6.600E+0	1.127E+3	9.260E-7	5.570E+4	1.393E+0	2.352E+0
6.650E+0	1.180E+3	8.880E-7	5.341E+4	1.276E+0	2.138E+0
6.700E+0	1.231E+3	8.420E-7	5.065E+4	1.160E+0	1.930E+0
6.750E+0	1.278E+3	7.870E-7	4.734E+4	1.044E+0	1.724E+0
6.800E+0	1.322E+3	7.230E-7	4.349E+4	9.271E-1	1.519E+0
6.850E+0	1.368E+3	6.480E-7	3.898E+4	8.031E-1	1.307E+0
6.900E+0	1.414E+3	5.880E-7	3.537E+4	7.053E-1	1.139E+0
6.950E+0	1.443E+3	5.360E-7	3.224E+4	6.300E-1	1.010E+0
7.000E+0	1.467E+3	4.810E-7	2.893E+4	5.560E-1	8.853E-1
7.050E+0	1.489E+3	4.250E-7	2.556E+4	4.841E-1	7.652E-1
7.100E+0	1.505E+3	3.690E-7	2.220E+4	4.157E-1	6.524E-1
7.150E+0	1.517E+3	3.150E-7	1.895E+4	3.522E-1	5.489E-1
7.200E+0	1.521E+3	2.620E-7	1.576E+4	2.921E-1	4.521E-1
7.250E+0	1.520E+3	2.120E-7	1.275E+4	2.364E-1	3.635E-1
7.300E+0	1.511E+3	1.640E-7	9.865E+3	1.841E-1	2.810E-1
7.350E+0	1.491E+3	1.008E-7	6.063E+3	1.146E-1	1.738E-1
7.400E+0	1.431E+3	6.940E-8	4.174E+3	8.222E-2	1.238E-1
7.450E+0	1.396E+3	4.350E-8	2.617E+3	5.283E-2	7.903E-2
7.500E+0	1.358E+3	2.630E-8	1.582E+3	3.285E-2	4.881E-2
